sku,sku_name,group_name,group_id,category_name,category_id,unit_measurement,type,sku_sales
858091,POLLO ASADO F CAL ELAB PROPIA UN,POLLO ASADO ENTERO,172011201,POLLOS ASADOS,1720112,ST,2,612745
638484,POLLO ASADO C ELAB PROPIA UN,POLLO ASADO ENTERO,172011201,POLLOS ASADOS,1720112,ST,2,612746
626218,PAN COLIZA CORRIENTE AMADA MASA KG,PAN ESPECIAL TERCERO,170020302,PAN ESPECIAL,1700203,KG,1,626218
632861,PAN HALLULLA PLANA LAF KG,HALLULLA TERC,170020104,PAN CORRIENTE,1700201,KG,1,632861
638771,PAN CIABATTA AMADA MASA KG,PAN ESPECIAL TERCERO,170020302,PAN ESPECIAL,1700203,KG,1,638771
571581,POLLO ASADO CONG ELAB PROPIA UN,POLLO ASADO ENTERO,172011201,POLLOS ASADOS,1720112,ST,2,642541
655130,POLLO ASADO LISTO TRADICIONAL TM UN.,POLLO ASADO ENTERO,172011201,POLLOS ASADOS,1720112,ST,2,665561
966668,PAN HALLULLA AMADA MASA KG,HALLULLA TERC,170020104,PAN CORRIENTE,1700201,KG,1,966668
966669,PAN MARRAQUETA AMADA MASA KG,MARRAQUETA TERC,170020102,PAN CORRIENTE,1700201,KG,1,966669
966670,PAN DOBLADA AMADA MASA KG,PAN ESPECIAL TERCERO,170020302,PAN ESPECIAL,1700203,KG,1,966670
966679,PAN HALLULLA INTEGRAL AMADA MASA KG,PAN ESPECIAL TERCERO,170020302,PAN ESPECIAL,1700203,KG,1,966679
636093,POLLO ASADO LISTO ELAB PROPIA UN,POLLO ASADO ENTERO,172011201,POLLOS ASADOS,1720112,ST,2,636110
649587,POLLO LISTO TRADICIONAL CAL AP UN.,OTROS POLLOS ASADOS,172011203,POLLOS ASADOS,1720112,ST,2,649664
631234,POLLO LISTO AL MERKEN CAL AP UN,OTROS POLLOS ASADOS,172011203,POLLOS ASADOS,1720112,ST,2,649665
655129,POLLO ASADO A LA PERUANA SV LISTO AP UN,POLLOS ASADOS LISTOS,172011204,POLLOS ASADOS,1720112,ST,2,655753